iter	Passed	Remaining
803	6961	1697
804	6969	1688
805	6977	1679
806	6985	1670
807	6992	1661
808	6999	1652
809	7008	1644
810	7016	1635
811	7023	1626
812	7031	1617
813	7038	1608
814	7045	1599
815	7053	1590
816	7060	1581
817	7068	1572
818	7076	1563
819	7083	1554
820	7090	1545
821	7098	1537
822	7105	1528
823	7112	1519
824	7120	1510
825	7128	1501
826	7135	1492
827	7142	1483
828	7150	1475
829	7158	1466
830	7165	1457
831	7173	1448
832	7180	1439
833	7188	1430
834	7195	1421
835	7202	1412
836	7210	1404
837	7217	1395
838	7224	1386
839	7232	1377
840	7240	1368
841	7247	1360
842	7255	1351
843	7262	1342
844	7270	1333
845	7278	1324
846	7285	1316
847	7292	1307
848	7300	1298
849	7307	1289
850	7315	1280
851	7323	1272
852	7330	1263
853	7338	1254
854	7345	1245
855	7353	1236
856	7362	1228
857	7370	1219
858	7377	1211
859	7386	1202
860	7393	1193
861	7401	1184
862	7410	1176
863	7417	1167
864	7425	1158
865	7432	1150
866	7439	1141
867	7447	1132
868	7454	1123
869	7461	1114
870	7469	1106
871	7476	1097
872	7484	1088
873	7491	1079
874	7498	1071
875	7505	1062
876	7511	1053
877	7519	1044
878	7527	1036
879	7535	1027
880	7542	1018
881	7550	1010
882	7558	1001
883	7567	992
884	7574	984
885	7582	975
886	7590	966
887	7597	958
888	7605	949
889	7612	940
890	7620	932
891	7627	923
892	7635	914
893	7642	906
894	7650	897
895	7658	888
896	7665	880
897	7673	871
898	7680	862
899	7688	854
900	7695	845
901	7703	836
902	7710	828
903	7717	819
904	7724	810
905	7732	802
906	7739	793
907	7746	784
908	7754	776
909	7761	767
910	7769	758
911	7778	750
912	7785	741
913	7793	733
914	7800	724
915	7807	715
916	7814	707
917	7822	698
918	7831	690
919	7839	681
920	7846	673
921	7854	664
922	7861	655
923	7868	647
924	7876	638
925	7883	630
926	7891	621
927	7898	612
928	7906	604
929	7913	595
930	7921	587
931	7928	578
932	7936	569
933	7944	561
934	7951	552
935	7959	544
936	7966	535
937	7973	527
938	7980	518
939	7988	509
940	7995	501
941	8003	492
942	8011	484
943	8018	475
944	8026	467
945	8033	458
946	8041	450
947	8048	441
948	8056	432
949	8063	424
950	8070	415
951	8078	407
952	8086	398
953	8093	390
954	8100	381
955	8107	373
956	8114	364
957	8122	356
958	8130	347
959	8138	339
960	8145	330
961	8152	322
962	8160	313
963	8168	305
964	8175	296
965	8183	288
966	8192	279
967	8199	271
968	8206	262
969	8213	254
970	8221	245
971	8228	237
972	8236	228
973	8243	220
974	8251	211
975	8258	203
976	8266	194
977	8273	186
978	8281	177
979	8288	169
980	8296	160
981	8304	152
982	8313	143
983	8320	135
984	8328	126
985	8336	118
986	8343	109
987	8350	101
988	8358	92
989	8365	84
990	8372	76
991	8379	67
992	8386	59
993	8394	50
994	8401	42
995	8408	33
996	8415	25
997	8422	16
998	8429	8
999	8437	0
